День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,ИВМО-01-22,ВТ,09.04.01,22,Unnamed: 9,ИВМО-02-22,232,09.04.01.1,14,Unnamed: 14,День недели.1,Группа.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,ИВМО-04-22,250,09.04.01.2,15,Unnamed: 24,ИВМО-05-22,244,09.04.01.3,14.1,Unnamed: 29,День недели.2,Группа.2,Unnamed: 32,Unnamed: 33,Unnamed: 34,ИКМО-01-22,ИППО,09.04.04,30,Unnamed: 39,ИКМО-02-22,231,09.04.04.1,29,Unnamed: 44,День недели.3,Группа.3,Unnamed: 47,Unnamed: 48,Unnamed: 49,ИКМО-03-22,КИС,09.04.04.2,30.1,Unnamed: 54,ИКМО-04-22,МОСИТ,09.04.04.3,30.2,Unnamed: 59,День недели.4,Группа.4,Unnamed: 62,Unnamed: 63,Unnamed: 64,ИКМО-05-22,234,09.04.04.4,30.3,Unnamed: 69,ИНМО-01-22,ППИ,09.04.03,22.1,Unnamed: 74,День недели.5,Группа.5,Unnamed: 77,Unnamed: 78,Unnamed: 79,ИНМО-02-22,239,09.04.03.1,19,Unnamed: 84,ИММО-01-22,ПМ,01.04.04,19.1,Unnamed: 89
СРЕДА,6,18-00,19-30,II,4 н. Программное обеспечение устройств и систем вычислительной техники,пр,Семенов Р.Э.,,,2-16 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-218,,СРЕДА,6,18-00,19-30,II,2-16 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Панов А.В.,Г-426,,2-16 н. Программное обеспечение информационно-управляющих систем,лк,Петренко А.А.,Г-111-б,,СРЕДА,6,18-00,19-30,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Данилович Е.С.,Г-109-а,,2-16 н. Управление информационно-технологическими проектами,пр,Полторак А.В.,Г-312,,СРЕДА,6,18-00,19-30,II,2-16 н. Интеллектуальные системы и технологии,пр,Демидова Л.А.,Г-101,,2-16 н. Архитектура вычислительных систем,пр,Леонтьев А.С.,Г-111-а,,СРЕДА,6,18-00,19-30,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Унгер А.Ю.,Г-110-б,,2-16 н. Методология информационно-аналитической работы,пр,Бергер Е.Г.,А-422,,СРЕДА,6,18-00,19-30,II,4-16 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Потапова К.А.,А-208,,2-16 н. Методология информационно-аналитической работы,пр,Смоленцева Т.Е.,Г-304,
СРЕДА,7,19-40,21-10,I,,,,,,,,,,,СРЕДА,7,19-40,21-10,I,3-17 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-218,,3-17 н. Программное обеспечение информационно-управляющих систем,лк,Петренко А.А.,Г-111-б,,СРЕДА,7,19-40,21-10,I,3-17 н. Интеллектуальные системы и технологии,пр,Демидова Л.А.,Г-101,,3-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Унгер А.Ю.,Г-110-б,,СРЕДА,7,19-40,21-10,I,3-17 н. Управление информационно-технологическими проектами,пр,Полторак А.В.,Г-312,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Смоленцева Т.Е.,Г-304,,СРЕДА,7,19-40,21-10,I,3-17 н. Методология информационно-аналитической работы,пр,Пяткин В.В,Г-426,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Панов А.В.,Г-110-а,,СРЕДА,7,19-40,21-10,I,3-17 н. Методология информационно-аналитической работы,пр,Бергер Е.Г.,А-422,,7-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Данилович Е.С.,Г-109а,
СРЕДА,7,19-40,21-10,II,,,,,,,,,,,СРЕДА,7,19-40,21-10,II,2-16 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-218,,2-16 н. Программное обеспечение информационно-управляющих систем,пр,Петренко А.А.,Г-111-б,,СРЕДА,7,19-40,21-10,II,2-16 н. Интеллектуальные системы и технологии,пр,Демидова Л.А.,Г-101,,2-16 н. Методология информационно-аналитической работы,пр,Смоленцева Т.Е.,Г-304,,СРЕДА,7,19-40,21-10,II,2-16 н. Управление информационно-технологическими проектами,пр,Полторак А.В.,Г-312,,2-16 н. Архитектура вычислительных систем,пр,Леонтьев А.С.,Г-111-а,,СРЕДА,7,19-40,21-10,II,6-18 н. Методология информационно-аналитической работы,пр,Пяткин В.В,Г-110-б,,2-16 н. Методология информационно-аналитической работы,пр,Бергер Е.Г.,А-422,,СРЕДА,7,19-40,21-10,II,,,,,,2-16 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Панов А.В.,Г-426,
СРЕДА,7,18-30,20-00,I,,,,,,,,,,,СРЕДА,7,18-30,20-00,I,,,,,,,,,,,СРЕДА,7,18-30,20-00,I,,,,,,,,,,,СРЕДА,7,18-30,20-00,I,,,,,,,,,,,СРЕДА,7,18-30,20-00,I,,,,,,,,,,,СРЕДА,7,18-30,20-00,I,,,,,,,,,,
СРЕДА,7,18-30,20-00,II,,,,,,,,,,,СРЕДА,7,18-30,20-00,II,,,,,,,,,,,СРЕДА,7,18-30,20-00,II,,,,,,,,,,,СРЕДА,7,18-30,20-00,II,,,,,,,,,,,СРЕДА,7,18-30,20-00,II,,,,,,,,,,,СРЕДА,7,18-30,20-00,II,,,,,,,,,,
СРЕДА,8,20-10,21-40,I,,,,,,,,,,,СРЕДА,8,20-10,21-40,I,,,,,,,,,,,СРЕДА,8,20-10,21-40,I,,,,,,,,,,,СРЕДА,8,20-10,21-40,I,,,,,,,,,,,СРЕДА,8,20-10,21-40,I,,,,,,,,,,,СРЕДА,8,20-10,21-40,I,,,,,,,,,,
СРЕДА,8,20-10,21-40,II,,,,,,,,,,,СРЕДА,8,20-10,21-40,II,,,,,,,,,,,СРЕДА,8,20-10,21-40,II,,,,,,,,,,,СРЕДА,8,20-10,21-40,II,,,,,,,,,,,СРЕДА,8,20-10,21-40,II,,,,,,,,,,,СРЕДА,8,20-10,21-40,II,,,,,,,,,,
ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,
ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,
ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,
ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,
ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,
ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,
ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,3-15 н. Теория систем массового обслуживания,лк,Синицын А.В.,База,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,
ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,18 н. Теория систем массового обслуживания,лк,Синицын А.В.,База,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,
ЧЕТВЕРГ,5,16-20,17-50,I,7-15 н. Программное обеспечение устройств и систем вычислительной техники,пр,Семенов Р.Э.,,,,,,,,ЧЕТВЕРГ,5,16-20,17-50,I,3 н. Методология информационно-аналитической работы,пр,Пяткин В.В,,,3 н. Методология информационно-аналитической работы,пр,Пяткин В.В,,,ЧЕТВЕРГ,5,16-20,17-50,I,,,,,,3-15 н. Теория систем массового обслуживания,лк,Синицын А.В.,База,,ЧЕТВЕРГ,5,16-20,17-50,I,"5,7 н. Методология информационно-аналитической работы",пр,Бергер Е.Г.,Д-313,,,,,,,ЧЕТВЕРГ,5,16-20,17-50,I,3 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Потапова К.А.,,,3-15 н. Интеллектуальные системы и технологии,пр,Жигалов К.Ю.,Г-111-б,,ЧЕТВЕРГ,5,16-20,17-50,I,,,,,,3-17 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-216,
ЧЕТВЕРГ,5,16-20,17-50,II,2 н. Методология информационно-аналитической работы,пр,Пяткин В.В,,,2 н. Методология информационно-аналитической работы,пр,Пяткин В.В,,,ЧЕТВЕРГ,5,16-20,17-50,II,,,,,,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Скрябин Ю.М.,Г-109-б,,ЧЕТВЕРГ,5,16-20,17-50,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лк,Тарасов И.Е.,А-6,,"2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем
18 н. Теория систем массового обслуживания","лк
лк","Тарасов И.Е.
Синицын А.В.","А-6
База",,ЧЕТВЕРГ,5,16-20,17-50,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лк,Тарасов И.Е.,А-6,,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лк,Тарасов И.Е.,А-6,,ЧЕТВЕРГ,5,16-20,17-50,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лк,Тарасов И.Е.,А-6,,2-18 н. Интеллектуальные системы и технологии,пр,Жигалов К.Ю.,И-203-б,,ЧЕТВЕРГ,5,16-20,17-50,II,2 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Потапова К.А.,,,2-18 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-216,
ЧЕТВЕРГ,6,18-00,19-30,I,3-15 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Скрябин  Ю.М.,Г-109-б,,,,,,,ЧЕТВЕРГ,6,18-00,19-30,I,3-15 н. Методология информационно-аналитической работы,пр,Пяткин В.В,А-422,,3-15 н. Методология информационно-аналитической работы,пр,Пяткин В.В,А-422,,ЧЕТВЕРГ,6,18-00,19-30,I,3-15 н. Библиотека инфраструктуры информационных технологий,пр,Дешко И.П.,А-423,,3-15 н. Теория систем массового обслуживания,пр,Борисов В.Д.,База,,ЧЕТВЕРГ,6,18-00,19-30,I,"5,7 н. Методология информационно-аналитической работы",пр,Бергер Е.Г.,Д-313,,3-15 н. Профессиональное ориентирование,лк,Бирюкова А.А.,Б-105,,ЧЕТВЕРГ,6,18-00,19-30,I,3-15 н. Профессиональное ориентирование,лк,Бирюкова А.А.,Б-105,,3-15 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-216,,ЧЕТВЕРГ,6,18-00,19-30,I,3-15 н. Интеллектуальные системы и технологии,пр,Жигалов К.Ю.,Г-111-а,,3- 15 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Жураковский В.Н.,Г-111-б,
ЧЕТВЕРГ,6,18-00,19-30,II,"2-16 н. Методология информационно-аналитической работы
18 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем","пр
пр","Пяткин В.В.
Скрябин Ю.М.","Г-111-б
Г-109-б",,2-16 н. Методология информационно-аналитической работы,пр,Пяткин В.В,Г-111-б,,ЧЕТВЕРГ,6,18-00,19-30,II,18 н. Методология информационно-аналитической работы,пр,Пяткин В.В,Г-111-б,,"2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем
18 н. Методология информационно-аналитической работы","пр
пр","Скрябин Ю.М.
Пяткин В.В","Г-109-б
Г-111-б",,ЧЕТВЕРГ,6,18-00,19-30,II,2-18 н. Библиотека инфраструктуры информационных технологий,пр,Дешко И.П.,Г-109-а,,18 н. Теория систем массового обслуживания,пр,Борисов В.Д.,База,,ЧЕТВЕРГ,6,18-00,19-30,II,2-16 н. Архитектура систем управления ресурсами  взаимоотношениями предприятия,лк,Назаров А.Н.,Г-312,,"2,4 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем
6-16 н. Методология информационно-аналитической работы","пр
пр","Данилович Е.С.
Бергер ЕГ.",А-422,,ЧЕТВЕРГ,6,18-00,19-30,II,4-16 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Потапова К.А.,А-210,,2-18 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-216,,ЧЕТВЕРГ,6,18-00,19-30,II,2-18 н. Интеллектуальные системы и технологии,пр,Жигалов К.Ю.,Г-111-а,,"6,8,14 н. Профессиональное ориентирование
18 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем","лк
лаб","Лаговский А.Б.
Жураковский В.Н.","Г-427
Г-109-а",
ЧЕТВЕРГ,7,19-40,21-10,I,3-15 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Скрябин  Ю.М.,Г-109-б,,,,,,,ЧЕТВЕРГ,7,19-40,21-10,I,3-15 н. Методология информационно-аналитической работы,пр,Пяткин В.В,А-422,,3-15 н. Методология информационно-аналитической работы,пр,Пяткин В.В,А-422,,ЧЕТВЕРГ,7,19-40,21-10,I,,,,,,3-15 н. Теория систем массового обслуживания,пр,Борисов В.Д.,База,,ЧЕТВЕРГ,7,19-40,21-10,I,3-15 н. Архитектура систем управления ресурсами  взаимоотношениями предприятия,пр,Назаров А.Н.,Г-312,,15 н. Профессиональное ориентирование,лк,Бирюкова А.А.,Б-105,,ЧЕТВЕРГ,7,19-40,21-10,I,15 н. Профессиональное ориентирование,лк,Бирюкова А.А.,Б-105,,3-15 н. Современные проблемы и методы прикладной информатики и развития информационного общества,пр,Борзых Н.Ю.,А-423,,ЧЕТВЕРГ,7,19-40,21-10,I,3-15 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-216,,3-15 н. Интеллектуальные системы и технологии,пр,Жигалов К.Ю.,Г-111-а,
ЧЕТВЕРГ,7,19-40,21-10,II,"2,4 н. Методология информационно-аналитической работы
18 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем","пр
пр","Пяткин В.В.
Скрябин Ю.М.",Г-109-б,,"2,4 н. Методология информационно-аналитической работы",пр,Пяткин В.В,,,ЧЕТВЕРГ,7,19-40,21-10,II,18 н. Методология информационно-аналитической работы,пр,Пяткин В.В,Г-111-б,,18 н. Методология информационно-аналитической работы,пр,Пяткин В.В,Г-111-б,,ЧЕТВЕРГ,7,19-40,21-10,II,,,,,,18 н. Теория систем массового обслуживания,пр,Борисов В.Д.,База,,ЧЕТВЕРГ,7,19-40,21-10,II,2-18 н. Архитектура систем управления ресурсами  взаимоотношениями предприятия,пр,Назаров А.Н.,Г-312,,"2,4 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем
6-16 н. Методология информационно-аналитической работы","пр
пр","Данилович Е.С.
Бергер ЕГ.",А-422,,ЧЕТВЕРГ,7,19-40,21-10,II,6-16 н. Методология информационно-аналитической работы,пр,Пяткин В.В,Г-111-б,,2-18 н. Современные проблемы и методы прикладной информатики и развития информационного общества,пр,Борзых Н.Ю.,А-423,,ЧЕТВЕРГ,7,19-40,21-10,II,2-18 н. Управление информационно-технологическими проектами,пр,Тимаков К.А.,А-216,,2-18 н. Интеллектуальные системы и технологии,пр,Жигалов К.Ю.,Г-111-а,
ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,
ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,
ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,
ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,
ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,
ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,
ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,
ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,
ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,3-17 н. Архитектура распределенных аппаратно-программных комплексов,лк,Глухов А.В.,База,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,
ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,2-16 н.  Системный анализ информационных технологий,лк,Бочаров Н.А.,База,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,
ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,3-17 н. Архитектура распределенных аппаратно-программных комплексов,пр,Глухов А.В.,База,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,
ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,2-16 н.  Системный анализ информационных технологий,пр,Бочаров Н.А.,База,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,
ПЯТНИЦА,5,16-20,17-50,I,5-15 н. Методология информационно-аналитической работы,пр,Пяткин В.В,А-423,,5-15 н. Методология информационно-аналитической работы,пр,Пяткин В.В,А-423,,ПЯТНИЦА,5,16-20,17-50,I,,,,,,3-17 н. Архитектура информационно-управляющих систем,лк,Лукьянов Ю.А.,База,,ПЯТНИЦА,5,16-20,17-50,I,3-17 н. Методики организации разработки программного обеспечения ,лк,Дешко И.П.,Г-101,,3-17 н. Сервис-ориентированная архитектура программных средств,лк,Силаев Ю.В.,База,,ПЯТНИЦА,5,16-20,17-50,I,,,,,,5 н. Методология информационно-аналитической работы,пр,Бергер Е.Г.,Д-313,,ПЯТНИЦА,5,16-20,17-50,I,3-17 н. Архитектура распределенных аппаратно-программных комплексов,пр,Глухов А.В.,База,,5-17 н. Базовые и прикладные информационные технологии,пр,Борзых Н.Ю.,А-422,,ПЯТНИЦА,5,16-20,17-50,I,,,,,,3-17 н. Информационное обеспечение систем анализа данных ,лк,Скляр А.Я.,А-210,
ПЯТНИЦА,5,16-20,17-50,II,,,,,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,,,,,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,2-16 н.Методики организации разработки программного обеспечения ,пр,Дешко И.П.,А-423,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,,,,,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,2-16 н.  Системный анализ информационных технологий,пр,Бочаров Н.А.,База,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,4-16 н. Базовые и прикладные информационные технологии,пр,Борзых Н.Ю.,А-422,,2-16 н. Технологии хранения и интерактивной обработки данных,лк,Скляр А.Я.,А-210,
ПЯТНИЦА,6,18-00,19-30,I,3-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Жураковский В.Н.,Г-111-б,,3-17н. Программное обеспечение устройств и систем вычислительной техники,пр,Семенов Р.Э.,Г-110-б,,ПЯТНИЦА,6,18-00,19-30,I,,,,,,3-17 н. Архитектура информационно-управляющих систем,лк,Лукьянов Ю.А.,База,,ПЯТНИЦА,6,18-00,19-30,I,3-17 н. Методики организации разработки программного обеспечения,пр,Дешко И.П.,Г-101,,3-17 н. Сервис-ориентированная архитектура программных средств,пр,Иванов В.В.,База,,ПЯТНИЦА,6,18-00,19-30,I,3-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Скрябин Ю.М.,Г-109-а,,5 н. Методология информационно-аналитической работы,пр,Бергер Е.Г.,Д-313,,ПЯТНИЦА,6,18-00,19-30,I,,,,,,5-17 н. Базовые и прикладные информационные технологии,пр,Борзых Н.Ю.,Г-310,,ПЯТНИЦА,6,18-00,19-30,I,,,,,,3-17 н. Информационное обеспечение систем анализа данных ,пр,Скляр А.Я.,Г-426,
ПЯТНИЦА,6,18-00,19-30,II,,,,,,2-16 н. Архитектура устройств и систем вычислительной техники,пр,Штрекер Е.Н.,Г-111-б,,ПЯТНИЦА,6,18-00,19-30,II,2-16 н. Программное обеспечение устройств и систем вычислительной техники,пр,Семенов Р.Э.,Г-110-б,,,,,,,ПЯТНИЦА,6,18-00,19-30,II,2-16 н. Профессиональное ориентирование,лк,Плотников С.Б.,А-182,,2-16 н. Профессиональное ориентирование,лк,Плотников С.Б.,А-182,,ПЯТНИЦА,6,18-00,19-30,II,,,,,,,,,,,ПЯТНИЦА,6,18-00,19-30,II,,,,,,,,,,,ПЯТНИЦА,6,18-00,19-30,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Скрябин Ю.М.,Г-109-а,,2-16 н. Технологии хранения и интерактивной обработки данных,пр,Скляр А.Я.,Г-426,
